Dátum,Kattintások,Megjelenések,CTR,Elhelyezkedés
2026-02-21,0,0,,
2026-02-22,0,0,,
2026-02-23,0,0,,
2026-02-24,0,7,0%,8.3
2026-02-25,0,3,0%,2.7
2026-02-26,0,5,0%,3.8
2026-02-27,3,9,33.33%,7.7
2026-02-28,1,21,4.76%,28.4
2026-03-01,0,31,0%,49.8
2026-03-02,0,28,0%,55.1
2026-03-03,1,78,1.28%,26.4
2026-03-04,0,95,0%,43.3
2026-03-05,0,86,0%,51.7
2026-03-06,0,75,0%,56.4
2026-03-07,0,104,0%,45.7
2026-03-08,0,88,0%,49.1
2026-03-09,0,137,0%,47
2026-03-10,2,195,1.03%,46.8
2026-03-11,1,190,0.53%,47.3
2026-03-12,1,137,0.73%,45.4
2026-03-13,1,143,0.7%,51.9
2026-03-14,0,160,0%,46.4
2026-03-15,0,175,0%,51.3
2026-03-16,0,213,0%,52.2
2026-03-17,0,198,0%,48.2
2026-03-18,0,191,0%,50.2
